"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,8110,,,,,
,65,8111,,,,,
,65,8112,,,,,
,65,8113,,,,,
,65,8114,,,,,
,65,8115,,,,,
,65,8116,,,,,
,65,8117,,,,,
,65,8118,,,,,
,65,8119,,,,,
,65,8130,,,,,
,65,8131,,,,,
,65,8132,,,,,
,65,8133,,,,,
,65,8134,,,,,
,65,8135,,,,,
,65,8136,,,,,
,65,8137,,,,,
,65,8138,,,,,
,65,8139,,,,,
,65,8141,,,,,
,65,8142,,,,,
,65,8143,,,,,
,65,8144,,,,,
,65,8145,,,,,
,65,8146,,,,,
,65,8147,,,,,
,65,8148,,,,,
,65,8149,,,,,
,65,8150,,,,,
,65,8151,,,,,
,65,8152,,,,,
,65,8153,,,,,
,65,8154,,,,,
,65,8155,,,,,
,65,8156,,,,,
,65,8157,,,,,
,65,8158,,,,,
,65,8159,,,,,
,65,8160,,,,,
,65,8161,,,,,
