"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,9239,,,,,
,65,9240,,,,,
,65,9241,,,,,
,65,9242,,,,,
,65,9243,,,,,
,65,9244,,,,,
,65,9245,,,,,
,65,9246,,,,,
,65,9247,,,,,
,65,9248,,,,,
,65,9249,,,,,
,65,9270,,,,,
,65,9271,,,,,
,65,9272,,,,,
,65,9335,,,,,
,65,9336,,,,,
,65,9337,,,,,
,65,9338,,,,,
,65,9339,,,,,
,65,9380,,,,,
,65,9381,,,,,
,65,9382,,,,,
,65,9383,,,,,
,65,9384,,,,,
,65,9385,,,,,
,65,9386,,,,,
,65,9387,,,,,
,65,9388,,,,,
,65,9389,,,,,
,65,9420,,,,,
,65,9421,,,,,
,65,9422,,,,,
,65,9423,,,,,
,65,9424,,,,,
,65,9425,,,,,
,65,9426,,,,,
,65,9427,,,,,
,65,9428,,,,,
,65,9429,,,,,
,65,9450,,,,,
,65,9451,,,,,
,65,9452,,,,,
,65,9453,,,,,
,65,9454,,,,,
,65,9455,,,,,
