"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,8242,,,,,
,65,8243,,,,,
,65,8244,,,,,
,65,8245,,,,,
,65,8246,,,,,
,65,8247,,,,,
,65,8248,,,,,
,65,8249,,,,,
,65,8250,,,,,
,65,8251,,,,,
,65,8252,,,,,
,65,8253,,,,,
,65,8254,,,,,
,65,8255,,,,,
,65,8256,,,,,
,65,8257,,,,,
,65,8258,,,,,
,65,8259,,,,,
,65,8268,,,,,
,65,8290,,,,,
,65,8291,,,,,
,65,8292,,,,,
,65,8293,,,,,
,65,8294,,,,,
,65,8295,,,,,
,65,8296,,,,,
,65,8297,,,,,
,65,8298,,,,,
,65,8321,,,,,
,65,8322,,,,,
,65,8328,,,,,
,65,8330,,,,,
,65,8331,,,,,
,65,8332,,,,,
,65,8334,,,,,
,65,8335,,,,,
,65,8336,,,,,
,65,8337,,,,,
,65,8352,,,,,
,65,8361,,,,,
,65,8362,,,,,
,65,8363,,,,,
,65,8364,,,,,
,65,8365,,,,,
,65,8367,,,,,
