"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,8681,,,,,
,65,8682,,,,,
,65,8689,,,,,
,65,8690,,,,,
,65,8700,,,,,
,65,8722,,,,,
,65,8724,,,,,
,65,8725,,,,,
,65,8726,,,,,
,65,8727,,,,,
,65,8728,,,,,
,65,8729,,,,,
,65,8765,,,,,
,65,8789,,,,,
,65,8790,,,,,
,65,8829,,,,,
,65,8830,,,,,
,65,8831,,,,,
,65,9001,,,,,
,65,9002,,,,,
,65,9003,,,,,
,65,9004,,,,,
,65,9005,,,,,
,65,9006,,,,,
,65,9007,,,,,
,65,9008,,,,,
,65,9009,,,,,
,65,9020,,,,,
,65,9021,,,,,
,65,9022,,,,,
,65,9023,,,,,
,65,9024,,,,,
,65,9025,,,,,
,65,9026,,,,,
,65,9027,,,,,
,65,9028,,,,,
,65,9029,,,,,
,65,9060,,,,,
,65,9061,,,,,
,65,9062,,,,,
,65,9063,,,,,
,65,9064,,,,,
,65,9065,,,,,
,65,9066,,,,,
,65,9067,,,,,
