"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,8162,,,,,
,65,8163,,,,,
,65,8164,,,,,
,65,8165,,,,,
,65,8166,,,,,
,65,8167,,,,,
,65,8168,,,,,
,65,8169,,,,,
,65,8180,,,,,
,65,8183,,,,,
,65,8184,,,,,
,65,8185,,,,,
,65,8186,,,,,
,65,8187,,,,,
,65,8189,,,,,
,65,8198,,,,,
,65,8200,,,,,
,65,8201,,,,,
,65,8202,,,,,
,65,8203,,,,,
,65,8204,,,,,
,65,8205,,,,,
,65,8206,,,,,
,65,8207,,,,,
,65,8208,,,,,
,65,8209,,,,,
,65,8220,,,,,
,65,8221,,,,,
,65,8224,,,,,
,65,8225,,,,,
,65,8226,,,,,
,65,8227,,,,,
,65,8229,,,,,
,65,8230,,,,,
,65,8231,,,,,
,65,8232,,,,,
,65,8233,,,,,
,65,8234,,,,,
,65,8235,,,,,
,65,8236,,,,,
,65,8237,,,,,
,65,8238,,,,,
,65,8239,,,,,
,65,8240,,,,,
,65,8241,,,,,
