"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,8369,,,,,
,65,8370,,,,,
,65,8373,,,,,
,65,8377,,,,,
,65,8378,,,,,
,65,8380,,,,,
,65,8384,,,,,
,65,8389,,,,,
,65,8390,,,,,
,65,8391,,,,,
,65,8392,,,,,
,65,8394,,,,,
,65,8395,,,,,
,65,8396,,,,,
,65,8397,,,,,
,65,8400,,,,,
,65,8468,,,,,
,65,8470,,,,,
,65,8471,,,,,
,65,8472,,,,,
,65,8473,,,,,
,65,8474,,,,,
,65,8475,,,,,
,65,8476,,,,,
,65,8477,,,,,
,65,8478,,,,,
,65,8479,,,,,
,65,8490,,,,,
,65,8491,,,,,
,65,8492,,,,,
,65,8493,,,,,
,65,8494,,,,,
,65,8495,,,,,
,65,8498,,,,,
,65,8501,,,,,
,65,8503,,,,,
,65,8505,,,,,
,65,8508,,,,,
,65,8509,,,,,
,65,8512,,,,,
,65,8513,,,,,
,65,8514,,,,,
,65,8516,,,,,
,65,8517,,,,,
,65,8519,,,,,
