"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,9068,,,,,
,65,9069,,,,,
,65,9100,,,,,
,65,9101,,,,,
,65,9102,,,,,
,65,9103,,,,,
,65,9104,,,,,
,65,9105,,,,,
,65,9106,,,,,
,65,9107,,,,,
,65,9108,,,,,
,65,9109,,,,,
,65,9140,,,,,
,65,9141,,,,,
,65,9142,,,,,
,65,9143,,,,,
,65,9144,,,,,
,65,9145,,,,,
,65,9146,,,,,
,65,9147,,,,,
,65,9148,,,,,
,65,9149,,,,,
,65,9160,,,,,
,65,9161,,,,,
,65,9162,,,,,
,65,9163,,,,,
,65,9164,,,,,
,65,9165,,,,,
,65,9166,,,,,
,65,9167,,,,,
,65,9168,,,,,
,65,9169,,,,,
,65,9180,,,,,
,65,9181,,,,,
,65,9182,,,,,
,65,9183,,,,,
,65,9184,,,,,
,65,9185,,,,,
,65,9186,,,,,
,65,9187,,,,,
,65,9188,,,,,
,65,9189,,,,,
,65,9199,,,,,
,65,9237,,,,,
,65,9238,,,,,
