"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,65,9456,,,,,
,65,9457,,,,,
,65,9458,,,,,
,65,9459,,,,,
,65,9480,,,,,
,65,9481,,,,,
,65,9482,,,,,
,65,9483,,,,,
,65,9484,,,,,
,65,9485,,,,,
,65,9486,,,,,
,65,9487,,,,,
,65,9488,,,,,
,65,9489,,,,,
,65,9499,,,,,
,65,9800,,,,,
,65,9813,,,,,
,65,9814,,,,,
,65,9850,,,,,
,65,9851,,,,,
,65,9852,,,,,
,65,9853,,,,,
,65,9854,,,,,
,65,9855,,,,,
,65,9856,,,,,
,65,9857,,,,,
,65,9858,,,,,
,65,9859,,,,,
,65,9880,,,,,
,65,9881,,,,,
,65,9882,,,,,
,65,9883,,,,,
,65,9884,,,,,
,65,9885,,,,,
,65,9886,,,,,
,65,9887,,,,,
,65,8754,,,,,Yes
,65,8755,,,,,Yes
,65,8756,,,,,Yes
,65,8757,,,,,Yes
,65,8758,,,,,Yes
,65,8759,,,,,Yes
,65,8760,,,,,Yes
,65,8769,,,,,Yes
,65,8770,,,,,Yes
