"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,744,186,187,,,,
,52,744,191,194,,,,
,52,744,204,205,,,,
,52,744,207,209,,,,
,52,744,221,225,,,,
,52,744,227,229,,,,
,52,744,235,236,,,,
,52,744,238,243,,,,
,52,744,255,260,,,,
,52,744,262,268,,,,
,52,744,284,287,,,,
,52,744,291,296,,,,
,52,744,308,315,,,,
,52,744,317,327,,,,
,52,744,329,329,,,,
,52,744,332,340,,,,
,52,744,346,355,,,,
,52,744,361,361,,,,
,52,744,370,385,,,,
,52,744,391,391,,,,
,52,744,393,393,,,,
,52,744,401,401,,,,
,52,744,407,409,,,,
,52,744,420,420,,,,
,52,744,424,427,,,,
,52,744,430,431,,,,
,52,744,437,439,,,,
,52,744,447,447,,,,
,52,744,449,449,,,,
,52,744,452,456,,,,
,52,744,458,459,,,,
,52,744,470,471,,,,
,52,744,473,473,,,,
,52,744,500,506,,,,
,52,744,517,517,,,,
,52,744,531,537,,,,
,52,744,557,558,,,,
,52,744,568,568,,,,
,52,744,576,576,,,,
,52,744,585,591,,,,
,52,744,615,615,,,,
,52,744,646,646,,,,
,52,744,672,672,,,,
,52,744,909,910,,,,
,52,745,100,100,,,,
