"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,564,157,186,,,,
,52,564,407,419,,,,
,52,564,619,620,,,,
,52,588,105,105,,,,
,52,588,108,108,,,,
,52,591,103,103,,,,
,52,591,111,111,,,,
,52,591,117,117,,,,
,52,592,104,104,,,,
,52,592,107,107,,,,
,52,593,106,106,,,,
,52,593,112,112,,,,
,52,593,115,115,,,,
,52,594,112,112,,,,
,52,594,115,115,,,,
,52,595,101,102,,,,
,52,595,104,104,,,,
,52,595,106,110,,,,
,52,595,112,116,,,,
,52,595,120,122,,,,
,52,595,124,125,,,,
,52,595,130,131,,,,
,52,595,138,138,,,,
,52,595,145,145,,,,
,52,595,154,154,,,,
,52,595,951,952,,,,
,52,595,957,957,,,,
,52,596,106,106,,,,
,52,596,109,109,,,,
,52,597,111,111,,,,
,52,597,114,114,,,,
,52,597,117,117,,,,
,52,597,120,120,,,,
,52,597,122,122,,,,
,52,597,124,124,,,,
,52,599,104,104,,,,
,52,599,108,108,,,,
,52,612,100,100,,,,
,52,612,102,105,,,,
,52,612,107,108,,,,
,52,612,111,111,,,,
,52,612,117,117,,,,
,52,612,120,120,,,,
,52,612,127,127,,,,
,52,612,131,131,,,,
