"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,273,141,142,,,,
,52,273,155,156,,,,
,52,273,158,159,,,,
,52,273,161,162,,,,
,52,273,175,175,,,,
,52,274,100,101,,,,
,52,274,103,103,,,,
,52,274,106,106,,,,
,52,274,108,111,,,,
,52,274,118,118,,,,
,52,274,121,122,,,,
,52,274,133,136,,,,
,52,274,140,142,,,,
,52,274,151,151,,,,
,52,274,154,155,,,,
,52,274,175,176,,,,
,52,274,194,195,,,,
,52,274,741,741,,,,
,52,274,746,746,,,,
,52,275,100,100,,,,
,52,275,102,113,,,,
,52,275,115,115,,,,
,52,275,118,120,,,,
,52,275,123,123,,,,
,52,276,100,100,,,,
,52,276,102,112,,,,
,52,276,114,115,,,,
,52,276,117,118,,,,
,52,276,122,123,,,,
,52,276,126,127,,,,
,52,276,129,129,,,,
,52,276,133,134,,,,
,52,276,136,137,,,,
,52,276,141,141,,,,
,52,278,100,100,,,,
,52,278,103,125,,,,
,52,278,128,128,,,,
,52,278,141,141,,,,
,52,278,155,155,,,,
,52,279,100,100,,,,
,52,279,104,117,,,,
,52,279,119,119,,,,
,52,279,123,124,,,,
,52,279,127,127,,,,
,52,281,102,102,,,,
