"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,414,280,280,,,,
,52,415,100,101,,,,
,52,415,109,109,,,,
,52,415,111,111,,,,
,52,415,113,115,,,,
,52,415,117,117,,,,
,52,415,119,119,,,,
,52,415,124,126,,,,
,52,415,138,140,,,,
,52,415,142,146,,,,
,52,415,149,149,,,,
,52,415,151,151,,,,
,52,415,168,170,,,,
,52,415,177,177,,,,
,52,415,181,181,,,,
,52,415,186,186,,,,
,52,415,188,188,,,,
,52,415,196,198,,,,
,52,415,214,217,,,,
,52,415,224,224,,,,
,52,417,100,100,,,,
,52,417,102,102,,,,
,52,417,104,104,,,,
,52,417,106,107,,,,
,52,417,110,110,,,,
,52,417,117,117,,,,
,52,417,119,119,,,,
,52,417,122,125,,,,
,52,417,130,130,,,,
,52,417,140,140,,,,
,52,417,142,142,,,,
,52,417,157,157,,,,
,52,417,176,177,,,,
,52,417,179,180,,,,
,52,417,192,192,,,,
,52,417,206,206,,,,
,52,417,212,212,,,,
,52,418,100,100,,,,
,52,418,104,104,,,,
,52,418,108,110,,,,
,52,418,112,115,,,,
,52,418,117,118,,,,
,52,418,129,129,,,,
,52,418,132,135,,,,
,52,418,143,143,,,,
