"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,442,263,263,,,,
,52,442,269,274,,,,
,52,442,281,287,,,,
,52,442,305,305,,,,
,52,442,309,309,,,,
,52,442,315,315,,,,
,52,442,317,324,,,,
,52,442,327,339,,,,
,52,442,342,347,,,,
,52,442,350,353,,,,
,52,442,356,356,,,,
,52,442,358,365,,,,
,52,442,367,369,,,,
,52,442,376,383,,,,
,52,442,385,386,,,,
,52,442,392,393,,,,
,52,442,396,397,,,,
,52,442,406,406,,,,
,52,442,415,415,,,,
,52,442,422,426,,,,
,52,442,431,439,,,,
,52,442,446,453,,,,
,52,442,457,461,,,,
,52,442,463,475,,,,
,52,442,485,496,,,,
,52,442,498,499,,,,
,52,442,501,508,,,,
,52,442,547,554,,,,
,52,442,571,571,,,,
,52,442,580,588,,,,
,52,442,590,590,,,,
,52,442,592,592,,,,
,52,442,594,595,,,,
,52,442,597,616,,,,
,52,442,626,627,,,,
,52,442,641,641,,,,
,52,442,653,654,,,,
,52,442,675,680,,,,
,52,442,704,704,,,,
,52,442,706,712,,,,
,52,442,714,721,,,,
,52,442,738,738,,,,
,52,442,771,790,,,,
,52,442,792,792,,,,
,52,442,805,805,,,,
