"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,629,138,138,,,,
,52,629,152,153,,,,
,52,629,179,179,,,,
,52,629,519,519,,,,
,52,629,521,521,,,,
,52,631,100,102,,,,
,52,631,108,111,,,,
,52,631,113,113,,,,
,52,631,115,116,,,,
,52,631,123,126,,,,
,52,631,129,130,,,,
,52,631,132,132,,,,
,52,631,134,135,,,,
,52,631,137,137,,,,
,52,631,144,144,,,,
,52,631,164,165,,,,
,52,631,167,168,,,,
,52,631,171,175,,,,
,52,631,177,184,,,,
,52,631,186,196,,,,
,52,631,223,223,,,,
,52,631,247,249,,,,
,52,631,253,253,,,,
,52,631,270,270,,,,
,52,631,298,299,,,,
,52,631,302,304,,,,
,52,631,308,308,,,,
,52,631,315,316,,,,
,52,631,318,318,,,,
,52,631,357,357,,,,
,52,631,944,944,,,,
,52,631,999,999,,,,
,52,632,103,103,,,,
,52,632,105,106,,,,
,52,632,111,113,,,,
,52,632,117,117,,,,
,52,632,119,120,,,,
,52,632,126,126,,,,
,52,632,318,318,,,,
,52,632,321,321,,,,
,52,632,324,324,,,,
,52,632,326,327,,,,
,52,633,100,102,,,,
,52,633,107,107,,,,
,52,633,109,109,,,,
