"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,228,353,366,,,,
,52,228,380,380,,,,
,52,228,403,411,,,,
,52,228,417,417,,,,
,52,228,421,425,,,,
,52,228,476,476,,,,
,52,228,496,499,,,,
,52,228,501,503,,,,
,52,228,591,591,,,,
,52,228,753,754,,,,
,52,228,776,777,,,,
,52,228,824,824,,,,
,52,228,830,830,,,,
,52,228,835,835,,,,
,52,228,838,839,,,,
,52,228,845,846,,,,
,52,228,851,853,,,,
,52,228,856,857,,,,
,52,228,860,860,,,,
,52,228,979,979,,,,
,52,228,988,988,,,,
,52,229,101,120,,,,
,52,229,124,129,,,,
,52,229,131,134,,,,
,52,229,137,140,,,,
,52,229,143,149,,,,
,52,229,152,154,,,,
,52,229,157,161,,,,
,52,229,168,169,,,,
,52,229,172,177,,,,
,52,229,205,216,,,,
,52,229,219,223,,,,
,52,229,225,225,,,,
,52,229,227,229,,,,
,52,229,241,247,,,,
,52,229,250,251,,,,
,52,229,264,266,,,,
,52,229,318,318,,,,
,52,229,353,357,,,,
,52,229,359,359,,,,
,52,229,361,374,,,,
,52,229,397,414,,,,
,52,229,446,453,,,,
,52,229,457,468,,,,
,52,229,479,479,,,,
