Date,Description
2022-05-27,ADDED NEW MSISDN AND MSRN NUMBER RANGES
2022-04-05,ADDED AND DELETED MSISDN NUMBER RANGES
2022-03-15,ADDED NEW MSISDN NUMBER RANGES
2022-02-11,ADDED AND DELETED MSISDN NUMBER RANGES
2022-01-12,ADDED AND DELETED MSISDN NUMBER RANGES
2021-11-12,ADDED AND DELETED MSISND AND MSRN NUMBER RANGES
2021-10-12,UPDATE MSRN NUMBER RANGES
2021-10-08,"MSISDN ranges are not detailed in ROUTING INFORMATION due to RAEX capacity is not enough to upload all our ranges, if
you require this information please contact techsupport@telcel.com."
2021-08-16,ADDED AND DELETED MSISDN NUMBER RANGES
2021-07-08,ADDED AND DELETED MSISDN NUMBER RANGES
2021-06-17,ADDED NEW MSISDN NUMBER RANGES
2021-06-05,ADDED AND DELETED MSISDN AND MSRN NUMBER RANGES
2021-03-31,ADDED AND DELETED MSISDN NUMBER RANGES
