"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,923,234,234,,,,
,52,923,238,238,,,,
,52,924,100,101,,,,
,52,924,104,104,,,,
,52,924,107,107,,,,
,52,924,109,110,,,,
,52,924,112,112,,,,
,52,924,114,114,,,,
,52,924,116,117,,,,
,52,924,119,120,,,,
,52,924,122,123,,,,
,52,924,126,137,,,,
,52,924,139,151,,,,
,52,924,165,165,,,,
,52,924,177,179,,,,
,52,924,186,186,,,,
,52,924,195,197,,,,
,52,924,209,210,,,,
,52,924,212,212,,,,
,52,924,241,243,,,,
,52,932,100,102,,,,
,52,932,106,106,,,,
,52,932,108,112,,,,
,52,932,114,114,,,,
,52,932,116,120,,,,
,52,932,122,122,,,,
,52,932,124,125,,,,
,52,932,127,130,,,,
,52,932,153,153,,,,
,52,932,169,170,,,,
,52,932,175,175,,,,
,52,932,201,201,,,,
,52,932,203,203,,,,
,52,932,232,232,,,,
,52,932,323,323,,,,
,52,932,327,327,,,,
,52,932,329,329,,,,
,52,933,100,107,,,,
,52,933,110,112,,,,
,52,933,117,119,,,,
,52,933,121,125,,,,
,52,933,129,130,,,,
,52,933,132,137,,,,
,52,933,145,147,,,,
,52,933,151,160,,,,
