"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,297,975,975,,,,
,52,311,100,112,,,,
,52,311,114,114,,,,
,52,311,116,123,,,,
,52,311,132,132,,,,
,52,311,134,139,,,,
,52,311,141,145,,,,
,52,311,147,150,,,,
,52,311,158,159,,,,
,52,311,161,163,,,,
,52,311,184,184,,,,
,52,311,201,204,,,,
,52,311,224,227,,,,
,52,311,230,230,,,,
,52,311,233,237,,,,
,52,311,239,241,,,,
,52,311,243,244,,,,
,52,311,246,247,,,,
,52,311,249,251,,,,
,52,311,253,257,,,,
,52,311,259,260,,,,
,52,311,262,262,,,,
,52,311,265,271,,,,
,52,311,287,287,,,,
,52,311,314,314,,,,
,52,311,321,321,,,,
,52,311,338,344,,,,
,52,311,372,377,,,,
,52,311,379,379,,,,
,52,311,391,397,,,,
,52,311,440,440,,,,
,52,311,740,740,,,,
,52,311,743,743,,,,
,52,311,746,746,,,,
,52,311,847,847,,,,
,52,311,890,890,,,,
,52,311,909,910,,,,
,52,312,100,114,,,,
,52,312,116,116,,,,
,52,312,118,122,,,,
,52,312,131,135,,,,
,52,312,137,138,,,,
,52,312,140,140,,,,
,52,312,142,145,,,,
,52,312,152,156,,,,
