"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,492,288,295,,,,
,52,492,308,308,,,,
,52,492,349,349,,,,
,52,492,365,365,,,,
,52,492,492,493,,,,
,52,492,544,544,,,,
,52,492,559,559,,,,
,52,492,869,870,,,,
,52,492,892,892,,,,
,52,492,900,900,,,,
,52,492,909,909,,,,
,52,492,942,942,,,,
,52,492,949,949,,,,
,52,493,100,103,,,,
,52,493,106,107,,,,
,52,493,110,115,,,,
,52,493,117,118,,,,
,52,493,124,125,,,,
,52,493,135,138,,,,
,52,493,141,141,,,,
,52,493,144,146,,,,
,52,493,148,150,,,,
,52,493,155,159,,,,
,52,493,164,164,,,,
,52,493,168,171,,,,
,52,493,177,177,,,,
,52,493,188,191,,,,
,52,493,212,215,,,,
,52,493,229,229,,,,
,52,493,257,257,,,,
,52,493,468,468,,,,
,52,493,937,937,,,,
,52,493,939,939,,,,
,52,493,949,949,,,,
,52,493,959,959,,,,
,52,494,100,100,,,,
,52,494,103,103,,,,
,52,494,106,106,,,,
,52,494,111,113,,,,
,52,494,116,116,,,,
,52,494,118,118,,,,
,52,494,123,123,,,,
,52,494,130,130,,,,
,52,494,172,172,,,,
,52,494,513,513,,,,
