"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,477,912,925,,,,
,52,477,929,929,,,,
,52,478,100,100,,,,
,52,478,102,102,,,,
,52,478,105,105,,,,
,52,478,108,108,,,,
,52,478,110,110,,,,
,52,478,115,115,,,,
,52,478,124,125,,,,
,52,478,140,140,,,,
,52,478,185,185,,,,
,52,478,798,798,,,,
,52,479,119,119,,,,
,52,479,135,154,,,,
,52,479,193,194,,,,
,52,479,213,232,,,,
,52,479,257,257,,,,
,52,479,391,391,,,,
,52,481,100,103,,,,
,52,481,106,107,,,,
,52,481,110,117,,,,
,52,481,119,120,,,,
,52,481,122,123,,,,
,52,481,126,126,,,,
,52,481,129,129,,,,
,52,481,138,141,,,,
,52,481,143,148,,,,
,52,481,152,157,,,,
,52,481,159,159,,,,
,52,481,175,175,,,,
,52,481,237,237,,,,
,52,481,331,331,,,,
,52,481,380,380,,,,
,52,481,389,389,,,,
,52,481,391,391,,,,
,52,481,841,841,,,,
,52,482,100,100,,,,
,52,482,102,115,,,,
,52,482,117,117,,,,
,52,482,120,120,,,,
,52,482,123,124,,,,
,52,483,100,100,,,,
,52,483,103,105,,,,
,52,483,107,112,,,,
,52,483,114,114,,,,
