"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,861,125,126,,,,
,52,861,128,129,,,,
,52,861,131,132,,,,
,52,861,135,135,,,,
,52,861,137,137,,,,
,52,861,160,160,,,,
,52,861,199,200,,,,
,52,861,610,610,,,,
,52,861,615,615,,,,
,52,861,617,617,,,,
,52,861,619,619,,,,
,52,861,674,674,,,,
,52,861,798,798,,,,
,52,862,100,100,,,,
,52,862,102,102,,,,
,52,862,109,111,,,,
,52,862,120,120,,,,
,52,862,122,124,,,,
,52,862,127,128,,,,
,52,862,130,130,,,,
,52,862,135,135,,,,
,52,862,628,629,,,,
,52,864,100,100,,,,
,52,864,105,106,,,,
,52,864,111,111,,,,
,52,864,114,114,,,,
,52,864,116,116,,,,
,52,864,118,118,,,,
,52,864,126,126,,,,
,52,864,132,132,,,,
,52,864,145,145,,,,
,52,864,617,618,,,,
,52,864,809,809,,,,
,52,866,100,101,,,,
,52,866,107,107,,,,
,52,866,112,112,,,,
,52,866,115,116,,,,
,52,866,120,120,,,,
,52,866,123,124,,,,
,52,866,130,137,,,,
,52,866,139,143,,,,
,52,866,147,148,,,,
,52,866,154,155,,,,
,52,866,159,159,,,,
,52,866,163,165,,,,
