"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,348,119,119,,,,
,52,348,121,121,,,,
,52,348,123,125,,,,
,52,348,129,135,,,,
,52,348,148,149,,,,
,52,348,151,152,,,,
,52,348,157,157,,,,
,52,348,181,181,,,,
,52,348,194,195,,,,
,52,348,219,219,,,,
,52,348,243,244,,,,
,52,348,789,789,,,,
,52,349,101,101,,,,
,52,349,104,104,,,,
,52,351,100,104,,,,
,52,351,107,109,,,,
,52,351,111,111,,,,
,52,351,115,115,,,,
,52,351,118,122,,,,
,52,351,124,125,,,,
,52,351,127,128,,,,
,52,351,133,135,,,,
,52,351,144,150,,,,
,52,351,156,163,,,,
,52,351,167,169,,,,
,52,351,174,187,,,,
,52,351,222,225,,,,
,52,351,245,245,,,,
,52,351,278,283,,,,
,52,351,304,309,,,,
,52,351,347,351,,,,
,52,351,364,364,,,,
,52,351,371,375,,,,
,52,351,500,500,,,,
,52,351,509,509,,,,
,52,351,513,513,,,,
,52,351,519,519,,,,
,52,351,548,548,,,,
,52,351,747,747,,,,
,52,351,913,913,,,,
,52,352,100,100,,,,
,52,352,103,103,,,,
,52,352,105,107,,,,
,52,352,110,113,,,,
,52,352,116,117,,,,
