"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,221,100,109,,,,
,52,221,178,201,,,,
,52,221,246,282,,,,
,52,221,289,289,,,,
,52,221,318,318,,,,
,52,221,343,364,,,,
,52,221,405,443,,,,
,52,221,463,463,,,,
,52,221,514,534,,,,
,52,221,556,598,,,,
,52,221,604,604,,,,
,52,221,620,621,,,,
,52,221,631,668,,,,
,52,221,694,694,,,,
,52,221,699,699,,,,
,52,221,701,702,,,,
,52,221,750,750,,,,
,52,221,752,752,,,,
,52,221,841,842,,,,
,52,222,100,120,,,,
,52,222,122,128,,,,
,52,222,132,136,,,,
,52,222,139,140,,,,
,52,222,151,152,,,,
,52,222,154,158,,,,
,52,222,160,164,,,,
,52,222,168,168,,,,
,52,222,174,178,,,,
,52,222,180,186,,,,
,52,222,188,197,,,,
,52,222,200,202,,,,
,52,222,205,209,,,,
,52,222,212,212,,,,
,52,222,217,217,,,,
,52,222,221,221,,,,
,52,222,238,238,,,,
,52,222,250,252,,,,
,52,222,254,255,,,,
,52,222,265,265,,,,
,52,222,267,268,,,,
,52,222,270,270,,,,
