"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,323,112,113,,,,
,52,323,116,118,,,,
,52,323,120,127,,,,
,52,323,129,132,,,,
,52,323,134,136,,,,
,52,323,139,139,,,,
,52,323,142,144,,,,
,52,323,151,153,,,,
,52,323,174,176,,,,
,52,323,193,196,,,,
,52,323,232,232,,,,
,52,323,239,239,,,,
,52,323,282,282,,,,
,52,323,729,729,,,,
,52,324,100,100,,,,
,52,324,103,103,,,,
,52,324,105,106,,,,
,52,324,108,108,,,,
,52,324,111,112,,,,
,52,324,114,117,,,,
,52,324,120,120,,,,
,52,324,123,123,,,,
,52,324,126,126,,,,
,52,324,133,133,,,,
,52,324,169,170,,,,
,52,324,196,196,,,,
,52,325,100,100,,,,
,52,325,103,103,,,,
,52,325,105,105,,,,
,52,325,111,114,,,,
,52,325,128,128,,,,
,52,325,141,141,,,,
,52,325,167,167,,,,
,52,326,101,101,,,,
,52,326,103,103,,,,
,52,327,102,105,,,,
,52,327,108,112,,,,
,52,327,114,115,,,,
,52,327,118,118,,,,
,52,327,121,121,,,,
,52,327,151,152,,,,
,52,327,978,978,,,,
,52,328,102,102,,,,
,52,328,108,108,,,,
,52,329,101,101,,,,
