"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,625,283,283,,,,
,52,625,579,579,,,,
,52,625,584,584,,,,
,52,625,589,589,,,,
,52,625,591,591,,,,
,52,625,594,594,,,,
,52,625,837,837,,,,
,52,625,842,842,,,,
,52,626,100,101,,,,
,52,626,104,104,,,,
,52,626,106,106,,,,
,52,626,108,111,,,,
,52,626,113,113,,,,
,52,626,117,117,,,,
,52,626,119,119,,,,
,52,626,499,499,,,,
,52,627,102,104,,,,
,52,627,106,106,,,,
,52,627,108,108,,,,
,52,627,111,115,,,,
,52,627,117,117,,,,
,52,627,119,119,,,,
,52,627,121,121,,,,
,52,627,123,123,,,,
,52,627,131,133,,,,
,52,627,139,144,,,,
,52,627,147,150,,,,
,52,627,163,163,,,,
,52,627,173,174,,,,
,52,627,177,178,,,,
,52,627,203,203,,,,
,52,627,279,279,,,,
,52,627,517,517,,,,
,52,627,520,521,,,,
,52,627,524,524,,,,
,52,627,889,889,,,,
,52,628,103,103,,,,
,52,628,108,108,,,,
,52,628,198,198,,,,
,52,629,101,101,,,,
,52,629,106,106,,,,
,52,629,109,110,,,,
,52,629,118,118,,,,
,52,629,123,124,,,,
,52,629,127,127,,,,
