"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,644,161,161,,,,
,52,644,167,168,,,,
,52,644,171,173,,,,
,52,644,188,204,,,,
,52,644,209,213,,,,
,52,644,220,237,,,,
,52,644,248,262,,,,
,52,644,271,271,,,,
,52,644,297,297,,,,
,52,644,327,327,,,,
,52,644,336,336,,,,
,52,644,381,381,,,,
,52,644,407,408,,,,
,52,644,420,420,,,,
,52,644,430,430,,,,
,52,644,447,447,,,,
,52,644,451,451,,,,
,52,644,454,455,,,,
,52,644,457,457,,,,
,52,644,460,462,,,,
,52,644,467,467,,,,
,52,644,997,998,,,,
,52,645,104,105,,,,
,52,645,107,107,,,,
,52,645,110,110,,,,
,52,645,113,116,,,,
,52,645,118,118,,,,
,52,645,121,121,,,,
,52,645,124,124,,,,
,52,645,330,331,,,,
,52,645,333,333,,,,
,52,645,340,340,,,,
,52,646,101,103,,,,
,52,646,107,109,,,,
,52,646,111,111,,,,
,52,646,113,113,,,,
,52,646,116,119,,,,
,52,646,121,121,,,,
,52,646,127,128,,,,
,52,646,131,132,,,,
,52,646,135,137,,,,
,52,646,141,141,,,,
,52,646,146,146,,,,
,52,646,148,148,,,,
,52,646,150,151,,,,
