"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,499,107,107,,,,
,52,499,110,110,,,,
,52,499,113,113,,,,
,52,551,002,017,,,,
,52,551,044,048,,,,
,52,551,068,072,,,,
,52,551,128,152,,,,
,52,551,155,155,,,,
,52,551,186,202,,,,
,52,551,224,225,,,,
,52,551,227,249,,,,
,52,551,286,301,,,,
,52,551,303,304,,,,
,52,551,306,306,,,,
,52,551,309,310,,,,
,52,551,319,322,,,,
,52,551,329,345,,,,
,52,551,353,382,,,,
,52,551,384,399,,,,
,52,551,451,452,,,,
,52,551,472,499,,,,
,52,551,501,507,,,,
,52,551,510,513,,,,
,52,551,590,591,,,,
,52,551,644,657,,,,
,52,551,677,706,,,,
,52,551,728,732,,,,
,52,551,795,800,,,,
,52,551,807,846,,,,
,52,551,849,856,,,,
,52,551,900,939,,,,
,52,552,066,073,,,,
,52,552,078,097,,,,
,52,552,109,119,,,,
,52,552,128,153,,,,
,52,552,170,199,,,,
,52,552,212,220,,,,
,52,552,240,261,,,,
,52,552,263,265,,,,
,52,552,267,272,,,,
,52,552,295,344,,,,
,52,552,492,541,,,,
,52,552,597,597,,,,
,52,552,609,609,,,,
,52,552,612,612,,,,
