"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,52,633,112,113,,,,
,52,633,115,115,,,,
,52,633,119,120,,,,
,52,633,123,126,,,,
,52,633,128,132,,,,
,52,633,134,135,,,,
,52,633,137,137,,,,
,52,633,141,141,,,,
,52,633,144,144,,,,
,52,633,333,337,,,,
,52,633,350,350,,,,
,52,633,409,409,,,,
,52,634,105,106,,,,
,52,634,108,114,,,,
,52,634,116,116,,,,
,52,634,118,118,,,,
,52,634,121,121,,,,
,52,634,246,246,,,,
,52,634,345,345,,,,
,52,634,347,347,,,,
,52,635,104,114,,,,
,52,635,116,121,,,,
,52,635,124,124,,,,
,52,635,127,127,,,,
,52,635,199,199,,,,
,52,635,293,294,,,,
,52,635,589,589,,,,
,52,635,592,592,,,,
,52,636,100,104,,,,
,52,636,109,112,,,,
,52,636,114,117,,,,
,52,636,121,128,,,,
,52,636,130,132,,,,
,52,636,134,137,,,,
,52,636,142,142,,,,
,52,636,145,145,,,,
,52,636,536,536,,,,
,52,636,692,693,,,,
,52,636,697,700,,,,
,52,637,100,100,,,,
,52,637,102,102,,,,
,52,637,105,106,,,,
,52,637,108,108,,,,
,52,637,110,111,,,,
,52,637,113,115,,,,
