"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","Network
owner",Location
MSISDN number ranges (s),,,,,,,,
,852,511,,,,,MNO,
,852,520,,,,,MNO,
,852,521,,,,,MNO,
,852,524,,,,,MNO,
,852,527,,,,,MNO,
,852,528,0,2,,,MNO,
,852,529,,,,,MNO,
,852,532,,,,,MNO,
,852,540,,,,,MNO,
,852,543,,,,,MNO,
,852,547,,,,,MNO,
,852,552,,,,,MNO,
,852,554,0,8,,,MNO,
,852,568,,,,,MNO,
,852,570,2,3,,,MNO,
,852,571,0,7,,,MNO,
,852,579,,,,,MNO,
,852,591,,,,,MNO,
,852,592,,,,,MNO,
,852,599,,,,,MNO,
,852,602,,,,,MNO,
,852,603,,,,,MNO,
,852,605,,,,,MNO,
,852,613,,,,,MNO,
,852,614,,,,,MNO,
,852,616,,,,,MNO,
,852,617,,,,,MNO,
,852,628,,,,,MNO,
,852,629,,,,,MNO,
,852,636,0,0,,,MNO,
,852,637,,,,,MNO,
,852,639,,,,,MNO,
,852,641,,,,,MNO,
,852,642,,,,,MNO,
,852,653,,,,,MNO,
,852,654,,,,,MNO,
,852,659,,,,,MNO,
,852,665,,,,,MNO,
,852,671,,,,,MNO,
,852,675,,,,,MNO,
,852,677,,,,,MNO,
