Node type,GT address / Address range,IP address / Address range,"IPv6 address /
Address range",Vendor info,UTC offset
SMSC,852 902 61147 / 61147,,,,+08:00
SMSC,852 902 61414 / 61414,,,,+08:00
SMSC,852 902 61444 / 61444,,,,+08:00
SMSC,852 902 61547 / 61547,,,,+08:00
SMSC,852 902 65424 / 65424,,,,+08:00
SMSC,852 902 66647 / 66647,,,,+08:00
SMSC,852 902 66744 / 66744,,,,+08:00
SMSC,852 902 66799 / 66799,,,,+08:00
SMSC,852 902 70694 / 70694,,,,+08:00
SMSC,852 902 71242 / 71242,,,,+08:00
SMSC,852 902 74224 / 74224,,,,+08:00
SMSC,852 902 75644 / 75644,,,,+08:00
SMSC,852 902 88000 / 88000,,,,+08:00
SMSC,852 902 90747 / 90747,,,,+08:00
SMSC,852 902 95914 / 95914,,,,+08:00
SMSC,852 902 96747 / 96747,,,,+08:00
SMSC,852 902 405410000 / 405419999,,,,+08:00
SMSC,852 921 41233 / 41235,,,,+08:00
SMSC,852 921 41238 / 41238,,,,+08:00
SMSC,852 921 44051 / 44055,,,,+08:00
