"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","Network
owner",Location
MSISDN number ranges (s),,,,,,,,
,852,514,5,8,,,MNO,
,852,518,,,,,MNO,
,852,523,0,3,,,MNO,
,852,536,,,,,MNO,
,852,541,,,,,MNO,
,852,558,,,,,MNO,
,852,590,0,5,,,MNO,
,852,594,,,,,MNO,
,852,612,,,,,MNO,
,852,618,,,,,MNO,
,852,625,,,,,MNO,
,852,630,,,,,MNO,
,852,638,,,,,MNO,
,852,644,,,,,MNO,
,852,649,,,,,MNO,
,852,651,,,,,MNO,
,852,660,,,,,MNO,
,852,662,,,,,MNO,
,852,669,,,,,MNO,
,852,680,,,,,MNO,
,852,692,,,,,MNO,
,852,907,,,,,MNO,
,852,923,,,,,MNO,
,852,927,,,,,MNO,
,852,952,,,,,MNO,
,852,964,,,,,MNO,
,852,969,,,,,MNO,
,852,977,,,,,MNO,
,852,980,,,,,MNO,
