Node type,GT address / Address range,IP address / Address range,"IPv6 address /
Address range",Vendor info,UTC offset
HLR,852 902 00000 / 99999,,,,+08:00
HLR,852 902 405460000 / 405489999,,,,+08:00
HSS,852 902 00000 / 99999,14.0.185.0/24,,,+08:00
HSS,852 902 00000 / 99999,14.0.184.0/24,,,+08:00
MSC/VLR-2G+3G,852 902 00000 / 99999,,,,+08:00
PGW,,110.4.10.0/24,,,+08:00
PGW,,203.210.11.0/24,,,+08:00
PGW,,203.210.10.0/24,,,+08:00
PGW,,131.166.163.32/29,,,+08:00
PGW,,131.166.165.32/29,,,+08:00
PGW,,131.166.165.48/29,,,+08:00
PGW,,65.72.92.0/24,,,+08:00
PGW,,65.72.93.0/24,,,+08:00
PGW,,65.72.94.0/24,,,+08:00
PGW,,74.118.67.32/27,,,+08:00
PGW,,74.118.67.0/27,,,+08:00
PGW,,131.166.130.0/24,,,+08:00
PGW,,131.166.132.0/24,,,+08:00
PGW,,131.166.134.0/24,,,+08:00
PGW,,131.166.136.0/24,,,+08:00
PGW,,213.144.191.56/29,,,+08:00
PGW,,213.144.191.224/29,,,+08:00
PGW,,213.144.191.216/30,,,+08:00
PGW,,213.144.191.220/30,,,+08:00
SCP,852 902 03724 / 03724,,,,+08:00
SCP,852 902 07944 / 07944,,,,+08:00
SCP,852 902 40524 / 40524,,,,+08:00
SCP,852 902 40600 / 40600,,,,+08:00
SCP,852 902 40601 / 40601,,,,+08:00
SCP,852 902 40713 / 40714,,,,+08:00
SCP,852 902 40717 / 40717,,,,+08:00
SCP,852 902 405450000 / 405459999,,,,+08:00
SGSN-2G+3G,852 902 00000 / 99999,203.210.11.0/24,,,+08:00
SGSN-2G+3G,852 902 00000 / 99999,203.210.10.0/24,,,+08:00
SGSN-2G+3G,852 902 00000 / 99999,110.4.10.0/24,,,+08:00
SGW,,110.4.10.0/24,,,+08:00
SGW,,203.210.11.0/24,,,+08:00
SGW,,203.210.10.0/24,,,+08:00
SMSC,852 902 00006 / 00006,,,,+08:00
SMSC,852 902 00107 / 00107,,,,+08:00
SMSC,852 902 00427 / 00427,,,,+08:00
SMSC,852 902 00496 / 00496,,,,+08:00
SMSC,852 902 00513 / 00513,,,,+08:00
SMSC,852 902 00573 / 00573,,,,+08:00
SMSC,852 902 01452 / 01452,,,,+08:00
SMSC,852 902 01478 / 01478,,,,+08:00
SMSC,852 902 01714 / 01714,,,,+08:00
SMSC,852 902 01949 / 01949,,,,+08:00
SMSC,852 902 02940 / 02940,,,,+08:00
SMSC,852 902 03449 / 03449,,,,+08:00
SMSC,852 902 03465 / 03465,,,,+08:00
SMSC,852 902 03467 / 03467,,,,+08:00
SMSC,852 902 03529 / 03529,,,,+08:00
SMSC,852 902 04204 / 04204,,,,+08:00
SMSC,852 902 04258 / 04258,,,,+08:00
SMSC,852 902 04647 / 04647,,,,+08:00
SMSC,852 902 06244 / 06244,,,,+08:00
SMSC,852 902 07542 / 07543,,,,+08:00
SMSC,852 902 08147 / 08147,,,,+08:00
SMSC,852 902 09342 / 09342,,,,+08:00
SMSC,852 902 09537 / 09537,,,,+08:00
