Date,Description
2023-02-28,new PGW IP 74.118.67.0/27
2023-02-28,"new PGW IP 131.166.130.0/24, 131.166.132.0/24, 131.166.134.0/24, 131.166.136.0/24, 213.144.191.56/29,
213.144.191.224/29, 213.144.191.216/30, 213.144.191.220/30"
2022-09-13,New SMSC 85290240591
2022-05-26,remove SMSC 85290210724
2021-10-04,Add SMSC 85290240515; Add SCP 85290240600
2021-06-17,"Add SMSC 85290240541xxxx; Add SCP 85290240545xxxx; Add HLR 85290240546xxxx, 85290240547xxxx,
85290240548xxxx"
2021-06-11,"Add PGW: 74.118.67.32/27; Add SCP 85290240601; Add SMSC: 85290240581, 85290240505, 85290240506, 85290240507,
85290240508, 85290240509, 85290240602"
2021-03-11,Add New information of SCP/SMSC/PGW
2020-07-22,Add PGW 131.166.165.48/29
2020-04-03,Add PGW 131.166.163.32/29 and PGW 131.166.165.32/29
2018-12-12,Add new SMSC GT 852 902 40727
2018-05-21,"Add New SMSC GT Address 85290240718, 85290240733."
2018-05-21,Add New SCP GT Address 85290240717.
2018-02-12,Add two new SMSC GT addresses 85290240715 and85290240731.
2017-09-27,"Delete PGW/SGW/SGSN-2G+3G IP 110.4.26.160/28 and GGSN IP 115.255.8.0/25, 131.166.254.0/29"
2017-02-03,"Add SMSC GT Address 85290240712, 852902407(23-26) and SCP GT address 8529024071(3-4)"
2016-06-07,"Correction of SMSC Address 852 902 16742 to 852 902 16724, 852 902 40971-40973 to 852 902 40970-40973 and 852 902
40985-40986 to 852 902 40984-40986"
2016-06-07,"Correction of the SMSC Address 852 902 41233-41235 to 852 921 41233-41235, 852 902 41238 to 852 921 41238 and 852
902 44051-44055 to 852 921 44051-44055"
2016-05-10,Add new SMSC address
2016-04-01,Create a Combined IR21 of HKGTC and HKGM3
