Node type,GT address / Address range,IP address / Address range,"IPv6 address /
Address range",Vendor info,UTC offset
HLR,852 902 40000 / 40999,,,,+08:00
HSS,852 902 40000 / 40999,,,,+08:00
MSC/VLR,852 923 94627 / 94627,,,,+08:00
MSC/VLR-2G+3G,852 902 40000 / 40999,,,,+08:00
PGW,,131.166.163.32/29,,,+08:00
PGW,,131.166.165.32/29,,,+08:00
PGW,,131.166.165.48/29,,,+08:00
PGW,,65.72.92.0/24,,,+08:00
PGW,,65.72.93.0/24,,,+08:00
PGW,,65.72.94.0/24,,,+08:00
PGW,,74.118.67.0/27,,,+08:00
PGW,,131.166.130.0/24,,,+08:00
PGW,,131.166.132.0/24,,,+08:00
PGW,,131.166.134.0/24,,,+08:00
PGW,,131.166.136.0/24,,,+08:00
PGW,,213.144.191.56/29,,,+08:00
PGW,,213.144.191.224/29,,,+08:00
PGW,,213.144.191.216/30,,,+08:00
PGW,,213.144.191.220/30,,,+08:00
PGW,,74.118.67.32/27,,,+08:00
SCP,852 902 40524 / 40524,,,,+08:00
SCP,852 902 40600 / 40600,,,,+08:00
SCP,852 902 40713 / 40714,,,,+08:00
SCP,852 902 40717 / 40717,,,,+08:00
SGSN-2G+3G,852 902 40000 / 40999,203.210.11.0/24,,,+08:00
SGSN-2G+3G,852 902 40000 / 40999,203.210.10.0/24,,,+08:00
SMSC,852 902 40515 / 40515,,,,+08:00
SMSC,852 902 40561 / 40561,,,,+08:00
SMSC,852 902 40712 / 40712,,,,+08:00
SMSC,852 902 40715 / 40715,,,,+08:00
SMSC,852 902 40718 / 40718,,,,+08:00
SMSC,852 902 40723 / 40727,,,,+08:00
SMSC,852 902 40731 / 40731,,,,+00:00
SMSC,852 902 40733 / 40733,,,,+08:00
SMSC,852 902 40960 / 40969,,,,+08:00
SMSC,852 902 40971 / 40973,,,,+08:00
SMSC,852 902 40980 / 40980,,,,+08:00
SMSC,852 902 40981 / 40982,,,,+08:00
SMSC,852 902 40983 / 40983,,,,+08:00
SMSC,852 902 40985 / 40986,,,,+08:00
SMSC,852 921 00000 / 99999,,,,+08:00
SMSC,852 923 47934 / 47934,,,,+08:00
SMSC,852 923 47948 / 47948,,,,+08:00
SMSC,852 923 47949 / 47949,,,,+08:00
SMSC,852 923 47960 / 47960,,,,+08:00
SMSC,852 923 47976 / 47976,,,,+08:00
SMSC,852 923 47977 / 47977,,,,+08:00
SMSC,852 923 47983 / 47983,,,,+08:00
SMSC,852 923 47990 / 47990,,,,+08:00
SMSC,852 923 47999 / 47999,,,,+08:00
SMSC,852 923 94602 / 94602,,,,+08:00
SMSC,852 923 94679 / 94679,,,,+08:00
SMSC,852 923 94680 / 94680,,,,+08:00
SMSC,852 923 94689 / 94689,,,,+08:00
SMSC,852 923 94696 / 94696,,,,+08:00
SMSC,852 923 94697 / 94697,,,,+08:00
SMSC,852 923 94699 / 94699,,,,+08:00
SMSC,852 923 95781 / 95781,,,,+08:00
SMSC,852 923 95782 / 95782,,,,+08:00
SMSC,852 923 95783 / 95783,,,,+08:00
SMSC,852 923 95799 / 95799,,,,+08:00
