"CCITT E.164
Number series",Country Code (CC),"National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number"
MSISDN number ranges (s),,,,,,,
,33,688,000000,999999,,,
,33,689,000000,999999,,,
,33,700,0000000000,0009999999,,,
,33,750,570000,599999,,,
,33,750,610000,699999,,,
,33,750,720000,729999,,,
,33,755,580000,659999,,,
,33,757,000000,009999,,,
,33,757,060000,079999,,,
,33,757,1700000,1799999,,,
,33,770,000000,299999,,,
,33,770,500000,999999,,,
,33,771,550000,559999,,,
,33,772,000000,999999,,,
,33,773,000000,999999,,,
,33,784,000000,599999,,,
,33,784,900000,999999,,,
,33,785,000000,999999,,,
,33,786,000000,999999,,,
,33,787,000000,999999,,,
,33,788,000000,999999,,,
,33,789,000000,999999,,,
,33,754,350000,399999,,,
,33,602,550000,559999,,,
,33,750,040000,049999,,,
,33,750,060000,069999,,,
,33,754,320000,329999,,,
,33,755,670000,689999,,,
,33,602,570000,599999,,,
,33,774,000000,999999,,,
