TADIG Code,Section ID,Section,Date,Description
FRAF1,20,LTE Roaming Information,2016-11-02,"Add new SMSC GT 33689004033 & 33689004034 - Add new
SGSN GT 33689003331 - Add new SGSN GT 33689003399"
FRAF1,13,Network Elements Information,2016-10-24,Add new SMSC GT 33689004033 and 33689004034
FRAF1,13,Network Elements Information,2016-10-24,Add new SGSN GT 33689003331 and GT 33689003399
FRAF1,13,Network Elements Information,2016-07-26,Add new SGSN
FRAF1,4,Routing Information,2016-07-25,Add new MSISDN range 3375560 to 3375564
FRAF1,13,Network Elements Information,2016-04-26,Add new SMSC
AAZOR,13,Network Elements Information,2015-12-10,Correst SMSC Range for AAZOR
FRAF1,4,Routing Information,2015-11-30,"Long Number for Voice Mail retrieval (888) will be change to
33654185468 (the older one 33654185488 will be desactivated on
31/12/2015)"
AAZOR,21,Contact Information,2015-11-25,Update Contacts
FRAF1,16,Packet Data Service Information,2015-11-06,Update ARP & THP for 2G/3G QoS
FRAF1,20,LTE Roaming Information,2015-11-02,update QCI and ARP
AAZOR,17,IP Roaming/Networking Information,2015-11-02,no change
FRAF1,4,Routing Information,2015-10-05,"Add new MSISDN range 3375707, 3375717, 3375700, 33700000"
FRAF1,21,Contact Information,2015-10-05,Update contacts
AAZOR,21,Contact Information,2015-10-05,Update Contacts
FRAF1,21,Contact Information,2015-08-12,Update Contacts
AAZOR,21,Contact Information,2015-08-12,Update Contacts
AAZOR,13,Network Elements Information,2015-08-10,Replace GGSN by PGW Node
AAZOR,17,IP Roaming/Networking Information,2015-08-10,"Hide The Following IP-PLMN Address Range for AAZOR
Network :212.234.96.80/29 212.234.96.88/29 as it belongs only to
FRAF1"
FRAF1,20,LTE Roaming Information,2015-08-04,Update LTE Information for FRAF1 Network
AAZOR,13,Network Elements Information,2015-08-04,Update SMSC GT address
AAZOR,13,Network Elements Information,2015-08-04,Add new HSS Node
AAZOR,16,Packet Data Service Information,2015-08-04,Modify Packet Data Service Information
AAZOR,20,LTE Roaming Information,2015-08-04,Create LTE Information for AAZOR Network
FRAF1,16,Packet Data Service Information,2015-06-01,Update IPv6 Connectivity Information
FRAF1,20,LTE Roaming Information,2015-06-01,Update IPv6 Connectivity Information
AAZOR,17,IP Roaming/Networking Information,2015-06-01,Add IP range for AAZOR Network 80.10.111.0/29 80.10.111.8/29
FRAF1,4,Routing Information,2015-05-12,"Add New MSISDN range 3375550 to 3375554 Only for SMS-IW
Hosting"
FRAF1,20,LTE Roaming Information,2015-05-12,Update Diameter Infos
AAZOR,17,IP Roaming/Networking Information,2015-03-26,"Hide IP address 212.234.96.0/24 from AAZOR as it belongs only
to FRAF1"
AAZOR,17,IP Roaming/Networking Information,2015-03-16,"Please Ignore the Last request of Deleting the IP-PLMN
Address Range: 80.10.0.0/24 80.10.1.0/24 80.10.2.0/24
80.10.3.0/24.Please Keep these Address implemented For FRAF1
20801"
AAZOR,17,IP Roaming/Networking Information,2015-03-09,"Delete The Following IP-PLMN Address Range: 80.10.0.0/24
80.10.1.0/24 80.10.2.0/24 80.10.3.0/24"
FRAF1,13,Network Elements Information,2015-02-23,"Update SGSN 2G/G3 Ericsson SGSN MME ,SGW ,PGW new
SW/HW version"
FRAF1,20,LTE Roaming Information,2015-02-23,Hide MME Hostnames
FRAF1,21,Contact Information,2015-02-18,Modify Contacts
AAZOR,21,Contact Information,2015-02-18,Modify Contacts
FRAF1,13,Network Elements Information,2014-12-01,Additional HLRs (33689005xxx)
FRAF1,4,Routing Information,2014-11-24,Correction in Additional information
FRAF1,13,Network Elements Information,2014-11-24,"Additional HLR, SMSC and SCP nodes (33689008xxx)"
FRAF1,20,LTE Roaming Information,2014-11-24,Add new MME hostnames
