TADIG Code,Section ID,Section,Date,Description
TWNPC,13,Network Elements Information,2016-05-18,New MME
TWNPC,17,GRX/IPX routing for data roaming,2016-05-18,Add Aicent on GRX
TWNPC,13,Network Elements Information,2016-03-17,New MME
TWNPC,13,Network Elements Information,2015-11-13,Add New SMSC
TWNPC,13,Network Elements Information,2015-09-24,Modify VLR GT
TWNPC,20,LTE Roaming Information,2015-09-16,Draft Version
TWNPC,5,International SCCP Gateway,2015-07-31,Darft Version
TWNPC,9,Test Numbers Information,2015-07-31,Draft Version
TWNPC,15,CAMEL Information,2015-07-31,Draft Version
TWNPC,16,Packet Data Service Information,2015-07-31,Draft Verson
TWNPC,18,MMS Interworking Information,2015-07-31,Draft Version
TWNPC,21,Contact Information,2015-07-31,Draft Version
TWNPC,4,Routing Information,2015-07-13,Initial version
TWNPC,8,Subscriber Identity Authentication,2015-07-13,Draft Version
TWNPC,10,MAP,2015-07-13,Draft Version
TWNPC,14,USSD Information,2015-07-13,Draft Version
TWNPC,12,"MAP Inter Operator SMS
Enhancement",2015-07-06,Draft Version
TWNPC,7,SCCP Protocol,2015-01-21,No change
