TADIG Code,Section ID,Section Name
JPNKI,5,International SCCP Gateway
JPNKI,6,Domestic SCCP Gateway
JPNKI,7,SCCP Protocol available at PMN for connection for International SS7 Roaming
JPNKI,8,Subscriber Identity Authentication
JPNKI,9,Test Numbers Information
JPNKI,10,Mobile Application Part (MAP) Section
JPNKI,11,MAP Optimal Routing Section
JPNKI,12,MAP Inter Operator SMS Enhancement
JPNKI,13,Network Elements Information
JPNKI,14,USSD Information
JPNKI,15,CAMEL Information
JPNKI,16,Packet Data Services Information
JPNKI,18,MMS Interworking Information
JPNKI,19,WLAN Information
JPNKI,20,Roaming in Long Term Evolution
JPNKI,22,Hosted Networks
JPNKI,21,Contact Information
JPNKI,24,MVNO Information
JPNKI,26,VoLTE Roaming Information Section
JPNKI,27,LPWA Roaming Information Section
