"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,81,90418,00000,99999,,,,
,81,90419,00000,99999,,,,
,81,90420,00000,99999,,,,
,81,90421,00000,99999,,,,
,81,90422,00000,99999,,,,
,81,90423,00000,99999,,,,
,81,90424,00000,99999,,,,
,81,90425,00000,99999,,,,
,81,9044,000000,999999,,,,
,81,9061,000000,999999,,,,
,81,9062,000000,999999,,,,
,81,9063,000000,999999,,,,
,81,90670,00000,99999,,,,
,81,90671,00000,99999,,,,
,81,90672,00000,99999,,,,
,81,90673,00000,99999,,,,
,81,90674,00000,99999,,,,
,81,90675,00000,99999,,,,
,81,90683,00000,99999,,,,
,81,90685,00000,99999,,,,
,81,90686,00000,99999,,,,
,81,90687,00000,99999,,,,
,81,9075,000000,999999,,,,
,81,90804,00000,99999,,,,
,81,90805,00000,99999,,,,
,81,90806,00000,99999,,,,
,81,90808,00000,99999,,,,
,81,9081,000000,999999,,,,
,81,9082,000000,999999,,,,
,81,90830,00000,99999,,,,
,81,90831,00000,99999,,,,
,81,90832,00000,99999,,,,
,81,90833,00000,99999,,,,
,81,90836,00000,99999,,,,
,81,90837,00000,99999,,,,
,81,90838,00000,99999,,,,
,81,90839,00000,99999,,,,
,81,90843,00000,99999,,,,
,81,90844,00000,99999,,,,
,81,9092,000000,999999,,,,
,81,9093,000000,999999,,,,
,81,90960,00000,99999,,,,
,81,90961,00000,99999,,,,
,81,90962,00000,99999,,,,
,81,90963,00000,99999,,,,
