"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,81,90110,00000,99999,,,,
,81,90113,00000,99999,,,,
,81,90114,00000,99999,,,,
,81,90115,00000,99999,,,,
,81,90116,00000,99999,,,,
,81,90117,00000,99999,,,,
,81,90118,00000,99999,,,,
,81,90119,00000,99999,,,,
,81,9012,000000,999999,,,,
,81,90180,00000,99999,,,,
,81,90181,00000,99999,,,,
,81,90182,00000,99999,,,,
,81,90183,00000,99999,,,,
,81,90184,00000,99999,,,,
,81,90185,00000,99999,,,,
,81,90186,00000,99999,,,,
,81,90190,00000,99999,,,,
,81,90191,00000,99999,,,,
,81,90192,00000,99999,,,,
,81,90193,00000,99999,,,,
,81,90194,00000,99999,,,,
,81,90195,00000,99999,,,,
,81,90196,00000,99999,,,,
,81,90197,00000,99999,,,,
,81,9020,000000,999999,,,,
,81,90290,00000,99999,,,,
,81,90291,00000,99999,,,,
,81,90293,00000,99999,,,,
,81,90294,00000,99999,,,,
,81,90343,00000,99999,,,,
,81,90344,00000,99999,,,,
,81,90345,00000,99999,,,,
,81,9035,000000,999999,,,,
,81,9036,000000,999999,,,,
,81,9037,000000,999999,,,,
,81,9038,000000,999999,,,,
,81,90398,00000,99999,,,,
,81,90399,00000,99999,,,,
,81,90415,00000,99999,,,,
,81,90416,00000,99999,,,,
,81,90417,00000,99999,,,,
