"CCITT E.164
Number series","Country
Code (CC)","National
Destination
Code (NDC)",SN Range Start,SN Range Stop,"Primary
International
DPC","Secondary
International
DPC","MVNO
Number",Location
MSISDN number ranges (s),,,,,,,,
,54,388,8140000,8159999,,,,
,54,388,8330000,8349999,,,,
,54,388,8406000,8409999,,,,
,54,388,8415000,8415999,,,,
,54,388,8430000,8433999,,,,
,54,388,8435000,8438999,,,,
,54,388,8451000,8452999,,,,
,54,388,8464000,8465999,,,,
,54,388,8468000,8469999,,,,
,54,388,8483000,8485999,,,,
,54,388,8488000,8489999,,,,
,54,388,8500000,8509999,,,,
,54,388,8560000,8573999,,,,
,54,388,8600000,8609999,,,,
,54,388,8650000,8650999,,,,
,54,388,8651000,8655999,,,,
,54,388,8657000,8659999,,,,
,54,388,8660000,8679999,,,,
,54,388,8700000,8709999,,,,
,54,388,8750000,8779999,,,,
,54,388,8800000,8809999,,,,
,54,388,8840000,8849999,,,,
,54,388,8870000,8889999,,,,
,54,388,8960000,8979999,,,,
,54,389,1402000,1405999,,,,
,54,389,1495000,1495999,,,,
,54,389,1696000,1697999,,,,
,54,389,2400000,2402999,,,,
,54,389,2403000,2405999,,,,
,54,389,2495000,2497999,,,,
,54,389,2604000,2604999,,,,
,54,389,4430000,4432999,,,,
,54,389,4487000,4488999,,,,
,54,389,4495000,4495999,,,,
,54,389,4497000,4498999,,,,
,54,389,4606000,4607999,,,,
,54,222,5455000,5455999,,,,
,54,292,3660000,3664999,,,,
